,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,date,position,coordinates
0,0.0,0.0,0.0,0.0,6.0,11/1/2021,long_term_0,"{'trow': 50, 'brow': 320, 'lcol': 400, 'rcol': 580}"
1,1.0,1.0,1.0,1.0,5.0,11/1/2021,long_term_1,"{'trow': 50, 'brow': 320, 'lcol': 560, 'rcol': 740}"
2,2.0,2.0,2.0,2.0,4.0,11/1/2021,long_term_2,"{'trow': 50, 'brow': 320, 'lcol': 735, 'rcol': 915}"
3,3.0,3.0,3.0,3.0,0.0,11/1/2021,short_term_0,"{'trow': 540, 'brow': 790, 'lcol': 560, 'rcol': 660}"
4,4.0,4.0,4.0,4.0,2.0,11/1/2021,short_term_2,"{'trow': 540, 'brow': 790, 'lcol': 770, 'rcol': 870}"
5,5.0,5.0,5.0,5.0,3.0,11/1/2021,short_term_1,"{'trow': 540, 'brow': 790, 'lcol': 670, 'rcol': 770}"
6,6.0,6.0,6.0,6.0,1.0,11/1/2021,short_term_span,"{'trow': 540, 'brow': 620, 'lcol': 280, 'rcol': 360}"
7,7.0,7.0,7.0,7.0,7.0,11/23/2021,long_term_0,"{'trow': 50, 'brow': 320, 'lcol': 360, 'rcol': 540}"
8,8.0,8.0,8.0,8.0,12.0,11/23/2021,long_term_1,"{'trow': 50, 'brow': 320, 'lcol': 530, 'rcol': 710}"
9,9.0,9.0,9.0,9.0,11.0,11/23/2021,long_term_2,"{'trow': 50, 'brow': 320, 'lcol': 700, 'rcol': 880}"
10,10.0,10.0,10.0,10.0,8.0,11/23/2021,short_term_2,"{'trow': 540, 'brow': 790, 'lcol': 730, 'rcol': 830}"
11,11.0,11.0,11.0,11.0,9.0,11/23/2021,short_term_1,"{'trow': 540, 'brow': 790, 'lcol': 630, 'rcol': 730}"
12,12.0,12.0,12.0,12.0,10.0,11/23/2021,short_term_0,"{'trow': 540, 'brow': 790, 'lcol': 530, 'rcol': 630}"
13,13.0,13.0,13.0,13.0,13.0,11/23/2021,short_term_span,"{'trow': 540, 'brow': 620, 'lcol': 240, 'rcol': 320}"
14,14.0,14.0,14.0,0.0,,12/11/2021,long_term_0,"{'trow': 50, 'brow': 320, 'lcol': 360, 'rcol': 540}"
15,15.0,15.0,15.0,1.0,,12/11/2021,long_term_1,"{'trow': 50, 'brow': 320, 'lcol': 530, 'rcol': 710}"
16,16.0,16.0,16.0,2.0,,12/11/2021,long_term_2,"{'trow': 50, 'brow': 320, 'lcol': 700, 'rcol': 880}"
17,17.0,17.0,17.0,3.0,,12/11/2021,short_term_0,"{'trow': 540, 'brow': 790, 'lcol': 510, 'rcol': 610}"
18,18.0,18.0,18.0,4.0,,12/11/2021,short_term_1,"{'trow': 540, 'brow': 790, 'lcol': 610, 'rcol': 710}"
19,19.0,19.0,19.0,5.0,,12/11/2021,short_term_2,"{'trow': 540, 'brow': 790, 'lcol': 715, 'rcol': 815}"
20,20.0,20.0,20.0,6.0,,12/11/2021,short_term_span,"{'trow': 530, 'brow': 610, 'lcol': 220, 'rcol': 300}"
21,21.0,21.0,0.0,,,12/18/2021,long_term_0,"{'trow': 50, 'brow': 320, 'lcol': 360, 'rcol': 540}"
22,22.0,22.0,1.0,,,12/18/2021,long_term_1,"{'trow': 50, 'brow': 320, 'lcol': 530, 'rcol': 710}"
23,23.0,23.0,2.0,,,12/18/2021,long_term_2,"{'trow': 50, 'brow': 320, 'lcol': 680, 'rcol': 860}"
24,24.0,24.0,3.0,,,12/18/2021,short_term_0,"{'trow': 540, 'brow': 790, 'lcol': 490, 'rcol': 590}"
25,25.0,25.0,4.0,,,12/18/2021,short_term_1,"{'trow': 540, 'brow': 790, 'lcol': 590, 'rcol': 690}"
26,26.0,26.0,5.0,,,12/18/2021,short_term_2,"{'trow': 540, 'brow': 790, 'lcol': 705, 'rcol': 805}"
27,27.0,27.0,6.0,,,12/18/2021,short_term_span,"{'trow': 530, 'brow': 610, 'lcol': 210, 'rcol': 290}"
28,28.0,0.0,,,,12/31/2021,long_term_0,"{'trow': 40, 'brow': 310, 'lcol': 340, 'rcol': 520}"
29,29.0,1.0,,,,12/31/2021,long_term_1,"{'trow': 40, 'brow': 310, 'lcol': 510, 'rcol': 690}"
30,30.0,2.0,,,,12/31/2021,long_term_2,"{'trow': 40, 'brow': 310, 'lcol': 660, 'rcol': 840}"
31,31.0,3.0,,,,12/31/2021,short_term_0,"{'trow': 530, 'brow': 780, 'lcol': 470, 'rcol': 570}"
32,32.0,4.0,,,,12/31/2021,short_term_1,"{'trow': 530, 'brow': 780, 'lcol': 580, 'rcol': 680}"
33,33.0,5.0,,,,12/31/2021,short_term_2,"{'trow': 540, 'brow': 790, 'lcol': 685, 'rcol': 785}"
34,34.0,6.0,,,,12/31/2021,short_term_span,"{'trow': 520, 'brow': 600, 'lcol': 190, 'rcol': 270}"
35,0.0,,,,,11/21/2021,long_term_0,"{'trow': 50, 'brow': 320, 'lcol': 360, 'rcol': 540}"
36,1.0,,,,,11/21/2021,long_term_1,"{'trow': 50, 'brow': 320, 'lcol': 530, 'rcol': 710}"
37,2.0,,,,,11/21/2021,long_term_2,"{'trow': 50, 'brow': 320, 'lcol': 700, 'rcol': 880}"
38,3.0,,,,,11/21/2021,short_term_0,"{'trow': 540, 'brow': 790, 'lcol': 520, 'rcol': 620}"
39,4.0,,,,,11/21/2021,short_term_1,"{'trow': 540, 'brow': 790, 'lcol': 620, 'rcol': 720}"
40,5.0,,,,,11/21/2021,short_term_2,"{'trow': 540, 'brow': 790, 'lcol': 730, 'rcol': 830}"
41,6.0,,,,,11/21/2021,short_term_span,"{'trow': 540, 'brow': 620, 'lcol': 230, 'rcol': 310}"
0,,,,,,11/20/2021,long_term_0,"{'trow': 50, 'brow': 320, 'lcol': 360, 'rcol': 540}"
1,,,,,,11/20/2021,long_term_1,"{'trow': 50, 'brow': 320, 'lcol': 530, 'rcol': 710}"
2,,,,,,11/20/2021,long_term_2,"{'trow': 50, 'brow': 320, 'lcol': 700, 'rcol': 880}"
3,,,,,,11/20/2021,short_term_0,"{'trow': 540, 'brow': 790, 'lcol': 530, 'rcol': 630}"
4,,,,,,11/20/2021,short_term_1,"{'trow': 540, 'brow': 790, 'lcol': 630, 'rcol': 730}"
5,,,,,,11/20/2021,short_term_2,"{'trow': 540, 'brow': 790, 'lcol': 730, 'rcol': 830}"
6,,,,,,11/20/2021,short_term_span,"{'trow': 540, 'brow': 620, 'lcol': 240, 'rcol': 320}"
